L5	S1	S2	S3	S4	S5	S6
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1754	0.0	0.00015594390815427159	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2069	0.0	0.0022158323104909334	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA1259	0.0	0.001727593512920082	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882	0.0	0.011296411217420475	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	0.04541278322637274	1.9474609788650774e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95	0.0013442098149291136	0.038613581395621856	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.3563855607079286	2.7544106851074763e-09	0.006455473865964036	0.08610891605077158	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1326	0.0	0.0029324599447840523	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2070	0.0	0.0007251424406007059	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;?;?	0.0011836868679285322	0.004912799078907413	0.0	0.00012828505088491825	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium	0.05886638940040701	0.0	0.0	0.00851706116060241	0.005507908939785336	0.002873060999328015
Bacteria;Firmicutes;Bacilli;?;?;?	0.0	4.6730810371502475e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;?;?;?	1.0832664182305504e-05	0.0002671259620955896	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;CAG-977	0.0	0.0010534024680705066	0.010215733469477337	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;RUG410	0.0	0.029931958893450177	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-448	0.0	0.023622790446426	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;HGM11416	0.0	0.002780859095150714	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS902	0.000261398213388546	0.005425416569170713	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faeciplasma	0.0	0.002042642116512749	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177	0.023945313454571387	0.23017976757888636	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;UBA1829;UBA1829	0.0	0.011905546328723749	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ventrimonas	0.013600930294926292	0.0007985858828940102	0.002203661202273791	0.006005378902179966	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;UBA7173	0.03437453223318422	0.005434732653461411	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;CAG-267	0.01467587788927615	0.01730328092016917	0.0	0.039428269585334616	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium	0.46799794342201834	0.0001833255032915264	0.36608205495577434	0.7294235164150463	0.0	0.0
