	is_monodominant	signature_name
Baek622.M	False	
Baek624.12M	False	
Baek624.4M	False	
Baek624.B	False	
Baek624.M	False	
Baek626.12M	False	
Baek626.4M	False	
Baek626.B	False	
Baek626.M	False	
Baek633.12M	False	
Baek633.4M	False	
Baek633.B	False	
Baek633.M	False	
Baek635.12M	False	
Baek635.4M	False	
Baek635.B	True	S5
Baek635.M	False	
Baek637.12M	False	
Baek637.4M	False	
Baek637.B	True	S5
Baek637.M	False	
Baek640.12M	False	
Baek640.4M	False	
Baek640.B	False	
Baek640.M	False	
C10055IS2973FE.t4M16	True	S5
C10055MS2958FE.t0M16	False	
C10055IS2969FE.t3M16	False	
C10055IS2965FE.t2M16	False	
C10055IS2962FE.t1M16	False	
C10052IS2920FE.t5M16	False	
C10052IS2915FE.t3M16	True	S5
C10052IS2911FE.t2M16	False	
C10052IS2908FE.t1M16	False	
C10052MS2904FE.t0M16	False	
C10049MS2850FE.t0M16	False	
C10049IS2857FE.t2M16	True	S6
C10049IS2866FE.t5M16	False	
C10049IS2866FE.t4M16	False	
C10049IS2861FE.t3M16	True	S5
C10049IS2854FE.t1M16	False	
C10043MS2742FE.t0M16	False	
C10043IS2749FE.t2M16	True	S6
C10042IS2739FE.t5M16	False	
C10042IS2739FE.t4M16	False	
C10042IS2735FE.t3M16	True	S4
C10042IS2731FE.t2M16	True	S6
C10042MS2724FE.t0M16	False	
C10039IS2681FE.t3M16	False	
C10039IS2677FE.t2M16	True	S5
C10039MS2670FE.t0M16	False	
C10035IS2913FE.t4M16	False	
C10035IS2609FE.t3M16	False	
C10035MS2598FE.t0M15	False	
C10035IS2605FE.t2M15	True	S4
C10035IS2602FE.t1M15	False	
C10034IS2595FE.t4M15	False	
C10034IS2591FE.t3M15	False	
C10034MS2580FE.t0M15	False	
C10034IS2587FE.t2M15	False	
