L5	S1	S2	S3	S4	S5	S6
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAG-1427	0.9334908542293541	0.06650914577064602	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	0.0	0.0011106266699948747	0.0	0.0	0.7427048542494481	0.25618451908055695
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum	0.7388694184509759	0.1105121463886695	0.07588729411772546	0.07473114104262922	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium	0.005410225537928966	0.18847959074964235	0.8061101837124287	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Christensenellaceae;QANA01	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.035482826718977664	2.2575202744198254e-05	0.012314060878341733	0.0	0.44605456568144863	0.5061259715184877
Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister	0.3956530499080469	0.07072243444382084	0.5223523138514232	0.01127220179670901	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enteroscipio	0.9999871504436639	0.0	0.0	4.736603580242435e-06	8.112952755812158e-06	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola	0.5768210656833812	0.4231789343166187	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Massiliomicrobiota	0.7458099998861769	0.0	0.0	0.25419000011382314	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q	0.504635211502526	0.020661877830635274	0.11818503094674115	0.24781332696840316	0.0	0.10870455275169433
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A	0.09965518612305779	0.5701016973595142	0.33024310930588724	7.211540783137381e-09	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Aphodovivens	0.10034006138429023	0.7660616331252386	0.13359830549047105	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Mesosutterella	0.1329232919756145	1.5937195394820962e-13	0.16092189753964867	0.7013591672908522	0.004795643193725207	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	0.45049883406569835	0.0	0.4472823411241729	0.10221882481012891	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Pullichristensenella	0.7945463218157769	0.20545367818422303	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266	0.6102913133892685	0.360308135962435	0.0031165553137676542	0.026283995334528857	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella	0.0018855646843778224	6.9208732217365505e-15	0.2762512201920581	0.7215022150196375	0.0003610001039196622	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	0.0	0.04586093014196633	0.9541390698580337	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A	0.8017182110658613	0.0	0.07951548030257273	0.0980121572705724	0.016789418112006717	0.003964733248986848
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter	0.0	0.0	0.0	0.0	0.1975697048824185	0.8024302951175816
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides	0.0	0.9795918045974269	0.020408195402573086	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Aphodomorpha	0.0	1.0	0.0	0.0	0.0	0.0
