L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Pullichristensenella	0.0	0.0	0.19773084547248848	0.0	0.0	0.0	0.8022691545275116	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266	0.0	0.0021330115699524114	0.42266617460325334	0.5403279879254732	0.03487282590132119	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella	0.0037521385458678704	0.2651866205489169	8.322270497913439e-12	0.01649023117848876	0.7145710097184041	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	0.0	0.9591042471268025	0.04089575287319741	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A	0.0	0.035018373219859456	2.1103365510106236e-10	0.34044358017493076	1.746014491960521e-05	0.0	0.6245205862492564	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter	0.0	0.0	0.0	0.0	0.0	0.19422138820735743	0.7874281474327159	0.01835046435992657
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides	0.0	0.027721779316263753	0.9722782206837363	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Aphodomorpha	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.0	3.2746920925598166e-12	0.02883345966292896	4.0030193662007835e-11	0.9711654662971018	0.0	1.0739966644182835e-06	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella	0.0	0.9999999999999989	1.059635329218254e-15	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.0	0.002586122624252337	0.07147831099933233	0.9259355663762405	0.0	0.0	1.748544097951962e-13	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398	0.0	0.1521687876698264	0.8478279275932665	3.2847369070538376e-06	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola	0.0	2.301845779314089e-09	0.16634135238198447	0.8336586453161697	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820;?	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_T	0.12237699350483809	0.20700010887038212	2.405920088920439e-10	0.0	0.0	0.0	0.6706228973841878	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;BX12	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;1XD42-69	0.0	0.0	0.6877324222866236	0.3122675777133764	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	0.0	0.0	0.3174391584944612	0.5149327995048699	0.0	0.0	0.16762804200066891	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas	0.0	0.0	0.0	0.0922906165393854	0.0	0.0	0.9077093834606146	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola	0.0	0.0	0.0	0.0	0.907416464891476	0.0	0.0	0.09258353510852399
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;?	0.0	0.0	0.8237839158911273	0.11105809137493719	0.0	0.0	0.06515799273393552	0.0
