L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Scatavimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.06165014846744756	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	0.0	0.0	7.820974137235544e-08	0.003079547204263245	0.0	0.0	0.031572883080535595	0.0
Bacteria;Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P	0.0	0.0	0.02299023930516088	0.0	0.0	0.0	0.0	0.28102680465582175
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;?	0.0	0.0	0.0	8.759618566516378e-06	0.0	0.0	0.0007978803950898112	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;Aphodocola	0.0	0.0	0.02755198912985226	0.00172468139855718	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;UMGS995	0.0	0.0	0.007109234546944873	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;HGM10766	0.0	0.0	0.0017276839921112903	0.0007138233111194374	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-269	0.0	0.0	0.06844906692773553	0.08787698179639819	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QAND01;UMGS1975	0.0	0.0	3.220972505790325e-05	0.00262245717596322	0.0	0.0	0.00023358181650527088	0.0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus_B	0.0	0.0	0.0	0.0	0.0	6.528403841416411e-05	0.0	0.0
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Varibaculum	0.003680408756712136	0.0	0.0	0.0	0.0	0.0	0.004294432683727243	0.014535462091130293
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;?	0.0	0.0	0.009317922893032888	0.0008967536443662219	0.0	0.0	0.0024267857495640045	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;UBA11549	0.0	0.0	0.008623166099204372	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;51-20	0.0	1.5433205467686294e-11	0.01726325056428829	0.03058812745927929	1.7760452994511322e-09	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Kiritimatiellae;RFP12;UBA1067;RUG572	0.0	0.0	0.016087303342835448	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS687	0.0	0.0	0.004288250283861906	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium	0.0	8.033569142082136e-05	0.0005421805334729618	0.0037352112649667608	0.00048341420889554544	0.0	0.0	0.0
Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	9.777666880183744e-16	0.0028929510537266706	0.0030715991113845664	0.01948501269984129	0.020228026183994108	0.0	0.009397421400912738	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1750;Spyradocola	0.0	0.0	0.0046111601222966645	0.0	0.0	0.0	0.0015403034675957753	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A	0.0	2.2200481411544975e-08	0.006638783432692233	0.022801106067908503	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA9506;UBA9506	0.0	0.0	0.0003716056382058975	0.0002479152975023089	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-762	0.0	0.0	0.006907627021723016	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.0	0.0	9.60430108795481e-05	0.009058682080630537	0.0	0.0	0.003692102667902745	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0.0	0.0	0.0038580005082783104	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RFN20;CAG-449;CAG-449	0.0	0.0	0.007197523164158851	0.0001697979640623457	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.0	0.0	0.06895778577141737	1.0475332192658087	0.0	0.0	1.1956811714788412e-11	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;UBA1390;Faecimorpha	0.0	0.0	0.0010615476241709497	3.6201869838572204e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;QAKL01	0.0	2.7489162787017133e-05	0.0003664053825486473	0.00029720027446574046	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.0	0.0	0.0	5.701840444112569e-12	3.7406261620632515	0.0	0.0003692102664520246	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;?	0.0	0.0	0.00034601167168075547	0.00029553359036037756	0.0	0.0	0.00046674855425706544	0.0009207147441951824
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.0007335485795170087	0.0	7.18642095505383e-06	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;CAIFEU01	0.0	0.0	0.0	1.115776541095828e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590	0.00016157267592373142	0.0	0.0017616667518890522	0.000741430679898372	0.0	0.0	1.5620383478770953e-13	0.0
Bacteria;?;?;?;?;?	0.0	0.0	0.0002643123482926613	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1754	0.0	0.0	0.00015078061427609715	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2069	0.0	0.0	0.0021424662294478656	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA1259	0.0	0.0	0.001670392990534753	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882	0.0	0.0	0.010922387688225949	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	0.0	0.0	0.0004437039077320842	0.04772631097611017	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95	0.0	0.0	0.039160204036887775	0.00010117658804087552	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.0	1.6677330683105054e-05	1.7678720279815438e-09	0.424301628587437	0.04020656621775383	0.0	0.0016653817308501068	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1326	0.0	0.0	0.0028353663637644176	0.0	0.0	0.0	0.0	0.0
