	model_fit
DC085	0.9952116223096955
DC084	0.43531178951626504
DC083	0.6809691748290848
DC082	0.5563025724395938
DC081	0.7654241323425961
DC080	0.8901477276162535
DC079	0.5276037587444891
DC077	0.7883902976631585
DC076	0.755561328030063
DC073	0.688196941167657
DC071	0.8782302958846889
DC070	0.8588707199838961
DC066	0.8531198512005015
DC055	0.5032117825115283
DC054	0.5379294184718909
DC052	0.708511845198812
DC051	0.5195145915857304
DC050	0.7708660214004528
DC049	0.7700740866515253
DC048	0.8321901181526712
DC047	0.6395116242562321
DC046	0.7586918509623855
DC045	0.424032513900598
DC044	0.5444277237081491
DC043	0.8836550843753211
DC042	0.7906841401814552
DC041	0.8882379525811951
DC040	0.9202238336185401
DC039	0.8538210145919517
DC038	0.4771260885436175
DC037	0.46269889429397326
DC036	0.914442124794368
DC035	0.7932893617908744
DC034	0.9818643515171162
DC033	0.9338259346944665
DC032	0.9357945659103879
DC031	0.9289542068479255
DC030	0.8354443434581422
DC029	0.8088155442708068
DC027	0.8874290351680627
DC026	0.8945989392814206
DC025	0.8140131205912757
DC024	0.8630410826062195
DC022	0.7041836551340029
DC021	0.7611536693726657
DC020	0.3481667544410204
DC019	0.9011444874660868
DC018	0.5400865343599102
DC017	0.5713514898629408
DC016	0.761190766279588
DC015	0.7686955769805093
DC014	0.8847930092772147
DC013	0.6317619390491578
DC012	0.681745167114281
DC011	0.6292113593670448
DC010	0.654646319731841
DC009	0.6904969779264256
DC008	0.6467476792133838
DC007	0.673059253687366
DC006	0.660075226611285
DC005	0.5282536798242585
DC004	0.6409137198511868
DC003	0.6637218966818043
DC002	0.6588254249282303
DC001	0.6937740841670034
Mong.A10	0.821066972973114
Mong.A102	0.7857997603311215
Mong.A103	0.8451709712417855
Mong.A104	0.7236102467792381
Mong.A108	0.7326820484688411
Mong.A11	0.8696435223271743
Mong.A111	0.8972848310776297
Mong.A112	0.6243260238068529
Mong.A124	0.7409824697612086
Mong.A125	0.8285657013099876
Mong.A126	0.8591915334108193
Mong.A127	0.9549561788698061
Mong.A129	0.9039491534063353
Mong.A130	0.8122892105398625
Mong.A134	0.7851927557080324
Mong.A135	0.8113798620069078
Mong.A137	0.5514910321051187
Mong.A142	0.9548970617818959
Mong.A149	0.8106549345781533
Mong.A15	0.8259693769027366
Mong.A151	0.9401259818695566
Mong.A162	0.7535745996521598
Mong.A163	0.9184425642596737
Mong.A165	0.8486398206915816
Mong.A171	0.9819354987541608
Mong.A19	0.7253310289859124
Mong.A31	0.9495317076667508
Mong.A34	0.9717301689668125
Mong.A36	0.8271785348390818
Mong.A37	0.7143842691259162
Mong.A38	0.9715720885561901
Mong.A40	0.7988115965974706
Mong.A41	0.976312749579443
Mong.A43	0.5371612303518654
Mong.A46	0.6219080772698188
Mong.A49	0.8955918449566481
Mong.A50	0.8533034194921528
Mong.A54	0.6139214736087748
Mong.A55	0.8040434384891838
Mong.A57	0.6624719990024929
Mong.A58	0.5925869392963039
Mong.A6	0.7234678535114459
Mong.A62	0.8063177010224093
Mong.A64	0.9555663862682113
Mong.A65	0.3504729494573401
Mong.A72	0.4697574169546401
Mong.A73	0.7388904134600796
Mong.A74	0.7592211087602208
Mong.A77	0.8626535296036985
Mong.A89	0.7694327105258604
Mong.A93	0.7673344409980479
Mong.A94	0.8114641965350899
Mong.A95	0.7317755480486005
Mong.A97	0.7338414179959882
Mong.B1	0.8062754906705449
Mong.B10	0.7742929568697675
Mong.B102	0.8094306593928043
Mong.B103	0.9244080936118559
Mong.B104	0.8855178508296163
Mong.B108	0.8305925971704633
Mong.B11	0.8209828180708643
Mong.B111	0.7623889801299583
Mong.B112	0.5250209203588304
Mong.B124	0.7089414246297159
Mong.B125	0.7924038183003663
Mong.B126	0.8050470517728573
Mong.B127	0.571536699975191
Mong.B129	0.8475411874613563
Mong.B130	0.8765161486018755
Mong.B134	0.8616732340931726
Mong.B135	0.8331532755240366
Mong.B137	0.5392943731393159
Mong.B142	0.9413710714945123
Mong.B149	0.8496982874568456
Mong.B15	0.8313355822771801
Mong.B151	0.9249214573058848
Mong.B152	0.98124706544396
Mong.B162	0.9198037720093896
Mong.B163	0.8790542362876764
Mong.B165	0.7587700230387243
Mong.B171	0.9858319068131332
Mong.B19	0.7514791997024747
Mong.B31	0.9753891651518847
Mong.B34	0.9529907342508368
Mong.B36	0.8624037350206482
Mong.B37	0.8104597478117612
Mong.B38	0.9706936806994002
Mong.B40	0.8045851720967415
Mong.B41	0.9415693440684649
Mong.B43	0.46891003563654565
Mong.B46	0.5708074260154834
Mong.B49	0.8053814068288563
Mong.B50	0.5422730730591789
Mong.B54	0.692474750133914
Mong.B55	0.7674069198406729
Mong.B57	0.8789122754156226
