L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0386637584142965	1.1307331696833307	0.06999201540730816	8.316909229156925e-10	0.32984095460537116	0.001561618215497968	0.0
Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister	0.0	0.0	0.3521081852783514	0.04288700028496631	2.0461877773006103e-12	0.4200580733691341	0.0035940239375913154
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enteroscipio	0.0	0.0	0.0003104294205282609	0.00021843534919742006	9.985120758859354e-06	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola	0.0	0.0	0.007600837708023651	0.03533431869560249	0.0	4.456067153484685e-08	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Massiliomicrobiota	0.0	0.0	0.002801950039309537	0.0	0.0	0.0	1.0346662982350689e-09
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q	7.796044500744038e-08	0.004300150151495561	0.05049945292955638	0.0014417590862322424	3.874805627540455e-15	0.009817616791642263	0.016008963489843517
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A	0.0	0.0	0.006531223665445767	0.02435709409668216	0.0	0.09379802851487866	0.00019825626407118853
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Aphodovivens	0.0	0.0	9.54427176040991e-10	0.0009434469613690846	0.0	0.0003501546048983141	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Mesosutterella	3.0820652076485504e-07	0.0	0.002732805367078212	0.0018381274009213824	0.0012678366286735564	0.0011869744430343886	0.016472009648752343
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	0.0	0.0	0.02945301138623906	0.00013976748066340568	0.00721727470949532	0.00962591393550016	0.004338562394502221
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Pullichristensenella	0.0	0.0	0.00012834549965905483	0.0008397264534768995	0.0	0.0	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266	0.0	0.0	0.002391048520974837	0.014949421893761767	0.0	1.046522717280754e-05	0.0007424560792839526
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella	0.0	0.0	3.2439872321038085e-07	0.006274522625925981	0.011071981439829707	0.07515138157962827	0.2512981503522827
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus	4.063845908071705e-12	0.06565196169503851	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	0.0	0.0	0.0	0.00021683888223152355	2.2247609722506365e-08	0.0613863314495729	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A	2.2408001225189756e-13	0.0	0.8565910138379216	2.5796620184126458e-05	0.009696789547568115	0.004142730295313327	0.0165195220046093
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter	0.0005019670202115383	0.00028233888538869485	0.0	0.0	2.1426946673539203e-13	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides	0.0	0.0	0.0	0.005307444491008764	0.0	0.4072335761155463	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Aphodomorpha	0.0	0.0	0.0	0.00778285397758495	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	0.0	0.0	0.0	0.08932780266843372	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.006482721379191754	0.0	5.89357697180287e-07	0.05318022688277324	1.3459839747149346e-15	0.003963294632308726	1.125655624561081
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella	0.0	0.0	0.0	0.0	0.0	4.799134748279159	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.0	0.0	0.3835817384786424	0.1280388230406768	0.0	0.002590500618351708	0.0
