L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820;?	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_T	0.0	0.0	0.0	0.03450286427924259	0.9654971357207575	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;BX12	0.0	0.16534200778072428	0.8346579922192757	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;1XD42-69	0.0	0.0	0.0	0.9046809462143682	0.0	0.09531905378563178	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	0.0	0.0	0.580542006974827	0.3977946772729155	0.0	0.021663315752257536	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas	0.0	0.0	0.8139924823965109	0.032448480134168886	0.15355903746932015	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;?	0.0	0.0	0.08007158933444515	0.3862854531246986	0.0	0.5336429575408563	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Scatavimonas	0.26552108008947123	0.0	0.7344577770056093	2.1142904919489536e-05	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	0.0	0.0	0.6063818808179547	0.39361811918204515	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P	2.4101624869709623e-08	0.8982854197475835	0.0	0.0	0.0	0.10171455615079153	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;?	0.014902240635445506	0.0	0.9850977593645546	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;Aphodocola	0.0	0.0	0.0	0.8557627194494811	0.0	0.1442372805505189	0.0
